Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,MinSalary,MaxSalary,AvgSalary,Python,SQL,Power BI,Tableau,Remote,Work_Mode,Remote_Label
"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),"the child mind institute is seeking a data analyst to join the center for the developing brain (cdb) research team. cdb is a research group focused on the development and deployment of sophisticated statistical techniques to understand brain maturation and clinical neuroscience. the data analyst will be an integral part of multi-center effort based at the child mind institute to understand the development of the brain’s corticostriatal thalamocortical circuits. these circuits are critical to driving learning, and mapping their development from childhood through adolescence will improve our understanding of how atypical brain development contributes to the emergence of psychiatric symptoms.

the data analyst will gain familiarity in running data-intensive methods for neuroimaging data, including multi-site harmonization, quality control, and preprocessing, as well as a suite of cutting edge, data-intensive multivariate and machine learning techniques for analysis of neuroimaging data. an ideal candidate will have a strong work ethic, can work well independently and as part of a team, and has the ambition to deepen an already existing set of strong technical skills.

reporting to one of our research scientists of the center for the developing brain, this is a full-time position, located at the midtown headquarters.

the child mind institute is proud to be named agreat place to work-certified company! our competitive compensation and benefits include medical insurance, 401(k) with match, flexible work schedules, paid parental leave, dependent care and discounted tickets and entertainment perks program.

responsibilities:
multi-site mri and behavioral data harmonization, cleaning, and preprocessing
learning and implementing new statistical methods for intensive analysis of neuroimaging data
implementation, execution, and maintenance of fmri imaging analysis pipelines
perform basic and advanced univariate and multivariate statistical analyses for projects and reports
develop graphs, reports, and presentations of project results
assist in preparing data to be shared with research collaborators
assist with data analysis for research projects and publications
independent and self-directed learning and skill improvement
qualifications:
bachelors or master’s degree in computer science, neuroscience, engineering, mathematics, statistics or related areas is preferred
extensive programming experience in one or more open source languages (e.g., python, r)
experience with neuroimaging analysis and proficiency with one or more packages (e.g. freesurfer, afni, fsl, workbench or spm) is a plus, but not required.
a passion for the applying computational methods to understand clinical conditions.
strong interpersonal skills, as well as strong written and oral communication
ability to work in a fast-paced environment
ability to work as a member of a team as well as independently
passion for cmi mission
please upload your resume, github profile and writing sample during the application process.

the child mind institute is an equal opportunity employer and does not discriminate in employment based on race, religion (including religious dress and grooming practices), color, sex/gender (including pregnancy, childbirth, breastfeeding or related medical conditions), sex stereotype, gender identity/gender expression/transgender (including whether or not you are transitioning or have transitioned) and sexual orientation; national origin (including language use restrictions and possession of a driver's license issued to persons unable to prove their presence in the united states is authorized under federal law [vehicle code section 12801.9]); ancestry, physical or mental disability, medical condition, genetic information/characteristics, marital status/registered domestic partner status, age (40 and over), sexual orientation, military or veteran status, or any other basis protected by federal, state or local law or ordinance or regulation.",3.2,"Child Mind Institute
3.2","New York, NY","New York, NY",201 to 500 employees,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1,-1,59.0,85.0,72.0,1,0,0,0,0,Unspecified,Non-Remote
Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),"the brink’s name is a promise to respect the trust we’ve earned in over 150 years in business. every employee honors that promise by offering the highest levels of service and support to our customers. we take pride in our work, and we share a passion about our future. learn why so many people have made the choice to join our team – and stay here.

job title

data processing & performance analyst

job description

brink’s global services is a division of brink’s inc, the world’s premier provider of secure logistics and security solutions in more than 122 countries across 5 continents. brink’s global services specializes in the secure transportation and handling of valuable goods throughout the logistic value chain, from raw materials and components to finished products within the mining, banknote, precious metal, jewelry, security, art and pharmaceutical industries the company has a proud history of providing growth and advancement opportunities for its employees. we have a challenging opportunity for a data processing & performance analystbased out of our jfk, new york location.

job summary:
the data processing & performance analyst is responsible for overall data gathering, analysis, and administration of: operating procedural, metrics tracking, communication, and tqm & lean development initiatives. this position assists with the development and implementation of performance improvement initiatives and controls used in the us brink’s global services (usbgs) network.

key responsibilities:
serve as the primary contact in usbgs for all service-level communications with the usbgs network branches
daily follow up with the network for coordination of operational activities
daily management of key performance measures such as pod (proof of delivery)
work closely and objectively with other department personnel to obtain system/process data in support of consolidated performance development
data entry/data management at large scale
participate in execution, implementation and monitoring of process improvement initiatives and performance metrics
auditing of various regulatory compliance requirements and creation of document packets for customers and relevant authorities
work with branches to ensure process efficiencies are implemented and maintained
work with varies departments to assure that branches are providing acceptable levels of service
conduct inter-company charges (btc) analysis, and report irregularities and other findings
provide reports and analysis, including performance, financial and cost savings summaries
develop process related training programs & materials for both usbgs and branch staff, and conduct on-going training/development initiatives
travel to branch locations to conduct inquiries, analysis and audits
perform other duties as assigned or necessary
about brink’s


brink’s is the global leader in security and logistics services, trusted by banks, financial institutions and businesses in both public and private sectors. we deliver the currency of the world to businesses in our communities. we do it because we’re needed. we do it because we’re trusted and valued. we do it because it makes us proud. brink’s proud.

what’s next?


thank you for considering applying for a job at brink’s u.s. to be considered for this position, you must complete the entire application process, which includes answering all prescreening questions and providing your esignature.

upon completion of the application process, you will receive an email confirming that we have received your application. we will review all candidates and notify you of your status should we deem you fit for a job. thank you again for your interest in a career at brink’s u.s. for more information about future career opportunities, join our talent network, like our facebook page or follow us on twitter.

brink’s is an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, marital status, protected veteran status, sexual orientation, gender identity, genetic information or history or any other characteristic protected by law. brink’s is also committed to providing a drug free workplace.

we are an equal opportunity employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",3.1,"Balance Innovations
3.1","New York, NY","Lenexa, KS",51 to 200 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,59.0,85.0,72.0,0,0,0,0,0,Unspecified,Non-Remote
Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),"job description
must be proficient in advanced excel – pivot, dashboarding, macro writing

must be able to analytical to help director understand trends in dataset on a weekly basis
must understand databases to help the team build out certain reports from
must be an effective communicator – will need to help facilitate and take notes in two key meetings weekly.
must be a good problem solver. need help to solve some of our challenges with manual excel files and identify way of automation or improvements
preferred data analytics degree – help with future initiatives
preferred knowledge of sharepoint 2010 – help build out internal audit sharepoint site and navigate existing sharepoint applications
preferred knowledge of tableau – help ia with dashboarding
preferred knowledge of microsoft power bi desktop – help with dash boarding
preferred knowledge of grc tools

summary: responsible for conducting research and root cause analysis for customers with
the goal of recommending and implementing new processes and solutions to
operational deficiencies. resolves issues and improves operational performance
on a cross-functional/departmental basis. this is a senior level position
working independently with guidance only in the most complex situations.
responsibilities: - investigate service related issues to identify root cause of issues; identify
and communicate business needs assessments as necessary.
develop forecasting tools using current technology/systems (access, excel,
monarch, etc.)
translate business requirements and assist it with the development of
technical specifications.
develop solutions based on data analysis to increase business efficiency.
lead or participate in internal and external project workgroup(s) and
presentations.
conduct user acceptance testing (uat) for projects, implementations, system
fixes and enhancements, etc.
prepare materials for internal and external audit activities; review audit
findings/reports for accuracy and completeness. if appropriate, formulate
rebuttal and/or corrective action steps.
may coach/mentor less experienced staff, assist in on-boarding of new staff
and/or distribute and follow-up on work assignments.
perform other relevant tasks as assigned by management.
qualifications: education:
bachelor's degree required.
experience:
minimum of seven (7) years' experience in an operational role, or analytical
role
knowledge:
knowledge of healthcare industry required
knowledge of project management methodologies
requires knowledge of healthcare firm’s products and services
requires working knowledge of division operating plan and firm’s operating
model.",3.4,"Asset Staffing
3.4","Newark, NJ","New York, NY",201 to 500 employees,-1,Contract,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,59.0,85.0,72.0,0,0,1,1,0,Unspecified,Non-Remote
Data Analyst with Rochade,$59K-$85K (Glassdoor est.),"hi, trust yoursquore doing good. enclosed is the job description for your perusal. if you are interested, kindly send me your updated resume along with the expected rate asap. role data analyst with rochade location nyc, ny duration long term responsibilities top three skills data catalog, informatica idc, informatica edc build stitching linage inside data catalog tool must have knowledge of lineage and financial industry, technical metadata layer asg di or shade tool, ibm isgwatson, informatica imm or ecd (data lineage tools) skills needed for application analyst asg rochade, becubic data lineage data stitching"" thank you sai kiran sr. technical recruiter (d) 248-504-6876 (m) (614) 721-6940 emailsaikiran.chrsrit.com 22260 haggerty rd, suite 285,northville, mi 48167. www.rsrit.com httpwww.rsrit.com",4.0,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,59.0,85.0,72.0,0,0,0,0,0,Unspecified,Non-Remote
Advertising Data Analyst,$59K-$85K (Glassdoor est.),"advertising data analyst

hearst television is seeking an advertising data analyst to join our team.

the candidate will be responsible for:

● collaborating with sales, tech and product teams to design, implement and refine state-of-the-art digital dashboards.

● helping to define and drive hearst television's data visualization and presentation strategy.

● evaluating existing data sources and related products on a regular basis, performing qa and health checks to ensure data integrity.

● performing ad hoc analysis to support our local sales staff, as well as creating custom visualizations as needed.

● helping to evangelize sales reporting needs and priorities to the product and tech teams.

● defining ui specs and user experience, managing related vendors and scope of work.

● interpreting data to inform decisions and tell accurate stories to our advertisers.

knowledge:

● experience collecting, integrating, and manipulating new data to be fed into bi tools or data lakes and a basic understanding of data storage and retrieval architecture.

● strong experience with data analysis and visualization software, e.g. google bigquery, power bi, domo, tableau or similar.

● sql, r or other analysis language proficiency preferred.

● experience with digital ad campaign/dmp reporting platforms and metrics.

skills and abilities:

● strong analytical mindset with a passion for investigative analysis.

● ability to communicate and document processes and analysis, and clearly communicate results to technical and non-technical teammates.

● comfortable interacting with sales teams and occasionally with external clients.

● a high level of organization and prioritization; must be able to assess and assign priority to multiple goals, and clearly communicate timelines.

● proven ability to multitask in a fast paced, fluid environment.

experience:

● 3 - 5 years experience in a digital analytics or digital ad campaign analysis role.

● project management and goal-setting experience within a digital analytics or analysis environment.

education:

bachelor’s degree in relevant field or equivalent experience required.",4.3,"Hearst Television, Inc
4.3","New York, NY","Cincinnati, OH",51 to 200 employees,-1,Company - Private,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD),-1,-1,59.0,85.0,72.0,0,1,1,1,0,Unspecified,Non-Remote
Product Analyst - Data,$59K-$85K (Glassdoor est.),"working with william hill, you will be at the heart of the technological revolution with one of the world's most trusted betting and gaming companies. william hill deals with projects ranging from desktop or mobile casinos and betting sites, to name a few. we process 500 online sportsbook bets per second each saturday, that's the same as the number of orders processed by amazon uk, on its busiest day of the year. we deal with more than 20 million users daily; impressed? you can be sure there are many more challenges waiting for you.

when we say cutting edge, we mean it. here, you can work on highly reliable systems with low latency, much like the transactional systems of the best financial institutions, butwith the fun included.

you will have access to development opportunities, including it conferences, internal training, and lunch and learn sessions. you will be part of a great working atmosphere, performing complex work in a collaborative team of amazing people, with forward-thinking managers. you will have the opportunity to make an impact.

what you will do:

we're looking for a data product analyst/scrum master to join our growing data team!

as the data product analyst/ scrum master you will:
be a subject matter expert for william hill data
assist the data architect in creating and updating a road map for data team
love to collaborate with other data professionals, engineers, and business operation experts to understand and address reporting needs
work closely with engineering and design resources to understand and create user stories and epics
possess excellent communication skills to successfully interact with the technology and business teams
have experience creating mocks ups, data flow diagrams, process diagram, project plan, and charters
document and organize requirements using agile methods like themes, epics and user stories with detailed acceptance criteria
delegate scrum meetings as well was maintaining jira board.
be proactive with leadership abilities with a strong ""can do attitude""
highly detailed oriented
strong willingness & comfort taking on and challenging development approaches
previously worked in agile and scrum.
be a team player, willing to wear multiple hats
what you will need:
7+ years delivering successful data warehousing projects
expertise in agile software product delivery and scrum
experience writing okr's and acceptance criteria
ability to facilitate uat
fluency in creating and maintaining roadmaps
bi reporting and analytic experience
firm understanding of etl process
understanding sql to perform ad hoc queries for data analytics
experience in cloud technology preferably aws, experience in relational db technology and creating mapping documents
required:

you will need to successfully complete a background and drug screen.

like what you see? apply here and get in the game.

william hill provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, creed, national origin, ancestry, sex, age, physical or mental disability, pregnancy, veteran or military status, genetic information, sexual orientation, gender identity or expression, marital status, civil union/domestic partnership status, familial status, domestic violence victim status, or any other legally recognized protected basis under federal, state or local laws. william hill complies with applicable federal, state and local laws governing nondiscrimination in employment in every location in which the company has facilities. this policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
essential functions/exposures:
must be able to sit for extended periods of time
must be able to type and talk on the phone for extended periods of time
regular attendance in the office
#li-og",2.7,"William Hill US
2.7","Jersey City, NJ","London, United Kingdom",10000+ employees,1934,Company - Public,Gambling,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),Sky Betting & Gaming,True,59.0,85.0,72.0,0,1,0,0,0,Unspecified,Non-Remote
Senior Data Analyst,$59K-$85K (Glassdoor est.),"at rockstar games, we create the games we would want to play ourselves.

a career at rockstar is about being part of a team working on some of the most creatively rewarding, large-scale projects to be found in any entertainment medium. you would be welcomed to a friendly, inclusive environment where you can learn, and collaborate with some of the most talented people in the industry.

rockstar new york is seeking an experienced data analyst to join our growing analytics practice and help build rockstar's business intelligence capacity. successful candidates will work with analytics and product leadership to assure that the most relevant possible real-time and historical data is identified, tracked, analyzed, and made actionable across all of our titles. this is a full-time permanent position based out of rockstar's unique game development studio in the heart of downtown manhattan.

what we do
the rockstar analytics team provide insights and actionable results to a wide variety of stakeholders across the organization in support of their decision making.
we work together with a number of departments to design and implement data and pipelines.
we collaborate as a global team to develop cutting-edge data pipelines, data products, data models, reports, analyses and machine learning applications.
responsibilities
partner with analysts and live producers to identify strategic business questions, key metrics, and actionable insights.
provide consumer-ready recommendations, insights and reporting to analytics team leadership, live producers, product managers and partner groups.
effectively translate statistical findings into actionable recommendations for senior leaders on game and business teams.
research and develop state-of-the-art data mining and statistical modeling solutions to understand game design, system performance and key business behaviors, such as player engagement.
drive needle moving improvements via hands-on exploration of data, dashboards, statistical analysis and predictive modeling.
combine qualitative and quantitative driven insights with game knowledge to recommend potential avenues to the game and business teams.
drive requirements for data collection and for data modeling with data engineers
work within a team of data analysts and engineers.
qualifications
5+ years in a similar position or an analytics role in the marketing, finance, forensics, or technology fields.
bachelor's degree in a quantitative field (statistics, applied mathematics, operational research, business intelligence or any other relevant field).
graduate degree (mba, msc or master's, phd), an asset.
extensive knowledge of data analysis techniques, languages, software and systems (sas, r, matlab, python, spss, tableau) required.
extensive knowledge in sql (or a sql-like language) required.
experience with vertica and hadoop, an asset.
game industry experience strongly desired.
skills
story telling.
ability to develop and maintain good relations and communicate with people at all hierarchical levels.
strong problem-solving skills.
ability to reconcile technical and business perspectives.
autonomy and entrepreneurship.
strong team spirit.
passion for rockstar games and our titles.
how to apply


please apply with a resume and cover-letter demonstrating how you meet the skills above. if we would like to move forward with your application, a rockstar recruiter will reach out to you to explain next steps and guide you through the process.

rockstar is proud to be an equal opportunity employer, and we are committed to hiring, promoting, and compensating employees based on their qualifications and demonstrated ability to perform job responsibilities.

if you've got the right skills for the job, we want to hear from you. we encourage applications from all suitable candidates regardless of age, disability, gender identity, sexual orientation, religion, belief, or race.",4.1,"Rockstar Games
4.1","New York, NY","New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),-1,-1,59.0,85.0,72.0,1,1,0,1,0,Unspecified,Non-Remote
Data Analyst,$59K-$85K (Glassdoor est.),"position: data analyst

agency: new york city employees’ retirement system’s (nycers).

project name:information technology (it) division.

duration: 3 years

project description:

nycers seeks one (1) data analyst with etl expertise to work with the information technology (it) division for a period up to 36 months. nycers reserves the right to hire the candidate(s) as an employee, at no additional cost, after a period of six (6) months. the data analyst will primarily be responsible for detailed field level analysis, profiling and mapping of the current ibm z/vse mainframe vsam files loaded into sql tables.

mandatory skills:
candidates must meet all the requirements below to be considered for this position.
minimum of five (5) years of source-to-target data mapping experience in a mixed mainframe, relational database and object storage environments.
experience creating and/or maintaining etl applications.
experience migrating mainframe vsam files to relational and/or dimensional sql databases.
experience working in multiple development environments/systems: ibm mainframe, windows server, unix and sql server.
strong sql knowledge working with complex queries and stored procedures.
proficiency in mainframe applications encompassing cobol, vsam and db2.
experience creating data dictionary documentation and data definitions/domains.
excellent interpersonal, communication, presentation, writing, analytical, problem solving, and information gathering skills along with fundamental technique troubleshooting abilities.
strong analytical skills demonstrated by the ability to receive and analyze requirements and propose a suitable solution that adheres to the team’s methodology.
preferred experience:
experience with data quality/profiling tools.
experience extracting business rules from the existing legacy code.
experience with data warehouses and/or data marts.
if this isn’t the role for you, perhaps you have a friend or colleague that would be a fit. i would appreciate your help forwarding this to people in your extended network that may be interested in exploring the opportunity.

i look forward to hearing from you soon.

--

regards,

asim ghafar

technical recruiter.

zdaas

1107 north point blvd, ste 228

baltimore, md 21224

office: 443-836-4932 x 1004

cell: 239-666-8767

hr3@zd-techsolutions.com",4.4,"ZDAAS
4.4","Brooklyn, NY","Baltimore, MD",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,-1,59.0,85.0,72.0,0,1,0,0,0,Unspecified,Non-Remote
Market Research Data Analyst - Physician Technology,$59K-$85K (Glassdoor est.),"drg, part of clarivate analytics, provides syndicated research and strategic advisory services focused on digital health and marketing trends among consumers and healthcare professionals in 22 countries around the globe. clients include top pharmaceutical companies, marketing agencies, health and medical publishers and technology providers. with us, you could make a large impact on our business unit results with backing from the leading player in the medical data industry.

we are hiring a highly skilled market research data analyst to support our multichannel engagement insights group. we understand how doctors, patients, and formulary decision-makers are using technology to inform their thinking and provide those insights to pharmaceutical marketing stakeholders (e.g., brand marketing teams, global marketing teams, digital content managers). the successful candidate will be expected to support multiple primary market research (pmr) analysis projects, effectively manage time commitments, and eventually assume greater responsibilities for projects. this role will have interactions with client teams, opportunity for advancement, and the ability to influence marketing and strategic planning decisions with global healthcare and pharmaceutical organizations.

responsibilities:
design, execute, and analyze survey data across multiple country markets/data sets to derive insights and prepare tables and powerpoint reports that are relevant to pharmaceutical brand marketers
secondary research to assess pharmaceutical and healthcare market landscapes, conduct competitive analyses
manage and execute client consulting engagements, custom projects and client inquiries
create and deliver compelling, insightful deliverables for clients based on the company’s suite of syndicated data sets
support analyst team covering healthcare professional insights, including trends in physician or consumer technology adoption, telehealth, commercial innovation for pharma companies and the role of technology in patient care
deliver client presentations
keep up to date on technology industry trends most important to our understanding of healthcare trends in the u.s., especially as it relates to the pharmaceutical industry (u.s. and global) and allied healthcare professionals.
requirements
3-5 years industry experience in a related position, such as market research, agency, consulting or pharma
bachelor’s degree required, advanced degree, such as an mba, ma, or another relevant field is preferred
exceptional powerpoint skills
experience with survey data collection is required (e.g., questionnaire design, survey fielding)
experience with qualitative research, social or web analytics is a plus
comfortable working with large data sets; competency with basic data analysis (wincross, spss, sql) preferred
understanding of healthcare trends in the u.s. especially as it relates to the pharmaceutical industry
a passion for understanding complex business questions
benefits

at drg, we know that better understanding of data leads to better application of data, which is why our experts partner with our clients to transform varied bodies of data into the evidence required to make well-informed business decisions.

decision resources group is proudly committed to equal employment opportunities regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, marital status, disability, gender identity or veteran status.

#li-md1",3.1,"Decision Resources Group
3.1","New York, NY","Burlington, MA",1001 to 5000 employees,1990,Subsidiary or Business Segment,IT Services,Information Technology,$100 to $500 million (USD),"IQVIA, GlobalData",-1,59.0,85.0,72.0,0,1,0,0,0,Unspecified,Non-Remote
Data Analyst,$59K-$85K (Glassdoor est.),"this is a great opportunity for a data analyst with alternative investments background.
seeking a senior data analyst/business analyst with 10 years of experience as a data analyst with a good understanding of the business as it pertains to experience within fund management, awm and distribution.
will need to understand different data feeds to drive capabilities, from a business perspective with hands on technical capabilities as well as business analysis to support the teams specific to salespage = (helps asset managers use data to connect investment products.)
must have hands on technical experience with data sql queries run data and knows how to load data, data processing jobs, including etl, on demand volume processing, and analytics. developing and enhancing processes for delivering application updates.
be able to interface with clients to gather business requirements, assist in troubleshooting.
familiarity with web application capabilities and development, implementing business logic around client data, using a relational database, and mass data processing techniques.
experienced with analytical and reporting tools such as tableau or similar
familiar with salespage , dst, client data
position will be remote with the intension to be onsite when applicable either in atlanta or ny.
the individual will need to be work on their own , self starter and motived.",3.0,"Highbridge Consulting LLC
3.0","New York, NY","Pleasantville, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,59.0,85.0,72.0,0,1,0,1,1,Remote,Remote
Look ML Data Analyst,$59K-$85K (Glassdoor est.),"title: look ml data analyst
location: ny, ny
duration: 6 months +

if interested, please send a word version of your resume to anita.olejnik@ntttdata.com

project overview:
lookers internal instance of looker requires ongoing maintenance and upkeep. in order to keep scaling with the looker, we need a resource to help us keep up with the growth of business data modeling. candidates must have prior experience or familiarity with look ml there are no exceptions or substitutions.

top 3 daily responsibilities:
execute analytics reporting requests using lookml
code review lookml of other members of the team.
document work and train employees on how to use reports and tools you have built
mandatory:
bachelors degree required
3 years of experience in data modeling with lookml and sql
specific tools or applications experience: looker, salesforce crm, financial analytics
desired:
lookml -- advanced (3-5)
sql -- advanced (3-5)
data analysis - advanced (3-5yr)
the company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. the company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. to comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the company would result.",2.9,"NTT DATA, Inc.
2.9","New York, NY","Singapore, Singapore",201 to 500 employees,-1,Company - Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,-1,-1,59.0,85.0,72.0,0,1,0,0,0,Unspecified,Non-Remote
Data Collection Analyst,$59K-$85K (Glassdoor est.),"requisition no: 502862
work type: full time
location: other nyc locations
school/department: icap at columbia
grade: grade 101
categories: administrative support, general administration, information technology, other
position summary

under the supervision of the program manager/site coordinator, the data collection analyst will perform data quality control and quality assurance activities according to study-specific procedures and site standard operating procedures; print and compile paper research data forms; maintain participant files in organized, accessible storage system; enter accurate and complete study data in electronic databases or fax/email/scan case report forms to statistical center as needed; respond to study data queries from the data management center, as directed by the site coordinator. other support functions to advance study goals include preparation of study data to fulfill funder requirements and for dissemination; track use and replenishment of study supplies; and other duties as assigned.

responsibilities
conduct all research activities in accordance with study protocol and procedures and other appropriate institutional regulations, procedures and policies, including procedures to safeguard confidentiality of study participants. 15%
assist the data manager and site coordinator in the performance of quality control (qc) and quality assurance (qa) procedures including review of case report forms and source documents in a timely manner prior to transmission to the data management and statistical center; as well as conduct quarterly chart review of all screened and enrolled participant's case report forms and source documents. 15%
assist with submission of study forms to the statistical and data management center. 5%
assist with prompt review of all data queries and their immediate resolution. 5%
assist the data manager and site coordinator in identifying problem areas with data collection, report findings to the site leadership, and develop appropriate corrective measures with input from the study team. 10%
assist in the review of eligibility criteria of screened study participants for enrollment, including review of eligibility case report forms, source documents and informed consent forms. 10%
help study team prepare and submit protocol non-adherence and protocol deviation forms, as needed. 5%
print and compile materials needed for informed consent process, study data collection, and participant follow up and recruitment.
organize and file study materials including case report forms and other study documents. 5%
assist in the preparation of study data for monitoring visits, reporting, and dissemination. 5%
assist with data collection and analysis; work on analysis of quantitative and qualitative data from cross-sectional surveys, interviews and other resources, if applicable. 5%
assist in the recruitment of study participants, help develop interview protocols and conduct interviews, if applicable. 5%
participate in regular meetings with study staff and site leadership to ensure high-quality performance of job responsibilities.
attend study related trainings and meetings as requested by the site coordinator. 5%
perform other study-related duties as assigned including but not limited to assisting study participants, greeting visitors at the site, answering the door, answering the phone etc. 5%
perform other related duties as assigned 5%
minimum qualifications
high school diploma and at least 1.5 years of related experience or equivalent in education, training and experience
proficiency in microsoft office desktop applications
excellent interpersonal, communication and organizational skills
flexible, open-minded, and able to easily adapt to new challenges
preferred qualifications
bachelor's degree preferred
experience working with diverse, medically underserved populations and high-risk communities
experience working with research and data management, data entry or electronic data capture is highly desired
equal opportunity employer / disability / veteran

columbia university is committed to the hiring of qualified local residents.

applications open: sep 05 2019 eastern daylight time applications close:

back apply share",3.9,"Columbia University
3.9","New York, NY","New York, NY",10000+ employees,1938,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,-1,59.0,85.0,72.0,0,0,0,0,0,Unspecified,Non-Remote
Data Analyst,$59K-$85K (Glassdoor est.),"job description
primary responsibilities: experience in a data analyst role. preferably experience in the digital advertising industry or related field ability to operate comfortably and effectively in a fast-paced, highly cross-functional, rapidly changing environment. programming skills in sql required; python, or java/scala preferred recent proven experience developing data visualizations, dashboards, and reporting in tableau(or a similar reporting tool) comfortable with any of advanced analytics tools such as pandas, r, and spark ability to work effectively with data science and engineering partners to meet the data needs of the business, translating business needs into analytical requirements experience engaging with the business and leadership on problem definition ability to communicate the results of analyses in a clear and effective manner with product and leadership teams to influence the overall strategy of the product. email: shashikanth@precisiontechcorp.com phone:732-537-8954 thanks & regards shashikanth",4.2,"Precision technologies corp
4.2","New York, NY","New Brunswick, NJ",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,59.0,85.0,72.0,1,1,0,1,0,Unspecified,Non-Remote
DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),"cactus holdings/western beef supermarket is looking for a full time data entry/billing analyst with experience using keyboard and calculator and ability to type 40 wpm to work in their national food distributors division. working knowledge in excel is required. this is an entry level position with room to grow in a great company. ability to work efficiently with accuracy and attention to detail is necessary.

why choose western beef retail, inc./cactus holdings, inc.?

western beef retail, inc./cactus holdings, inc. employs over 1,900 people and owns over 2 million sq sf in nyc real estate, with 23 retail store locations and over 1,000 weekly wholesale customers. our retail locations serve over 800k people weekly largely of hispanic, caribbean, west indian and african american descent.

western beef retail inc./cactus holdings inc. truly values its heritage. our origins trace back to 1906 where we began as a series of small, local butcher shops. while the company has certainly grown since then, western beef retail inc./cactus holdings inc. maintains its proud heritage and strives to remain an integral part of the communities and families of the communities that surround our business and help it grow.

responsibilities:
ability to work efficiently with attention to detail
a comfort level with change, the ability to adapt to work-week changes
ability to work well with others
working knowledge in excel required
daily pull orders from 20+ stores.
ad hoc
must work well with others
must be a great with multi-tasking while retaining great attention to detail.",3.9,"Cactus Holdings
3.9","Queens Village, NY","Mumbai, India",1001 to 5000 employees,2002,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,59.0,85.0,72.0,0,0,0,0,0,Unspecified,Non-Remote
